RatingID,UserID,RestaurantID,DriverID,OrderID,Score,Comment,RatingDate
1,4,45,60,28,2,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-02-06 07:23:44
2,76,35,78,85,5,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-01-28 16:37:01
3,34,18,53,25,5,The food was delicious and the service was excellent! Would definitely recommend this restaurant,2024-02-26 21:17:29
4,61,7,11,101,5,"The food was incredible, the atmosphere was cozy, and the service was top",2024-02-28 14:40:48
5,78,13,2,90,1,"""Fantastic dining experience! The food was delicious, the service was top-notch",2024-02-12 03:11:45
6,12,47,49,145,5,"The food was delicious, the service was excellent, and the atmosphere was cozy",2024-02-18 07:21:55
7,9,44,78,199,1,"""Fantastic dining experience! The food was delicious, service was excellent, and",2024-01-12 15:03:31
8,71,15,38,5,5,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-01-12 20:02:29
9,86,35,38,128,4,"""Outstanding food and excellent service at this restaurant! Highly recommend trying their",2024-03-08 20:00:59
10,96,12,26,55,1,The food was delicious and service was excellent! Definitely recommend this restaurant for a,2024-01-08 09:33:22
11,19,32,47,121,4,"Had a fantastic dining experience at this restaurant. The food was delicious, the",2024-02-29 17:19:38
12,24,48,41,172,1,"Delicious food, cozy atmosphere, and friendly service - overall a delightful dining",2024-02-07 13:36:04
13,55,43,49,187,1,The food was exceptional and the service was top-notch. A truly memorable dining,2024-02-21 07:34:00
14,8,15,27,163,1,"Great food, cozy atmosphere, and friendly service - a perfect dining experience!",2024-02-23 07:02:28
15,86,28,31,98,1,"Delicious food, attentive service, and a cozy ambiance - a wonderful dining",2024-01-31 16:24:22
16,90,39,41,62,5,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-01-17 01:26:53
17,79,29,74,182,1,"Had a fantastic dining experience at this restaurant! The food was delicious, the",2024-01-29 16:21:05
18,62,42,67,132,3,"Had a fantastic dining experience at this restaurant! The food was absolutely delicious,",2024-01-09 03:31:15
19,16,36,76,126,3,"I had a fantastic dining experience at this restaurant! The food was delicious,",2024-01-03 21:17:35
20,13,34,99,59,1,"The food was delicious, the service was excellent, and the ambiance was cozy",2024-01-27 04:38:07
21,23,39,63,87,2,"The food was delicious, the atmosphere was cozy, and the service was impeccable",2024-02-20 09:36:38
22,48,48,38,125,2,"Had a fantastic dining experience at this restaurant! The food was delicious, service",2024-01-05 01:45:19
23,96,30,42,44,5,"The food was delicious, the service was excellent, and the ambiance was very",2024-01-16 16:10:33
24,24,14,76,88,2,The food was absolutely delicious and the service was top-notch. A wonderful dining,2024-01-28 22:29:40
25,49,11,66,62,1,"The food was delicious and the service was fantastic, I can't wait to",2024-02-07 14:08:53
26,81,15,25,124,5,"The food was delicious and the service was impeccable, truly a memorable dining experience",2024-03-04 23:33:32
27,43,50,86,189,4,"""Absolutely delicious meal with impeccable service, highly recommend this restaurant for an unforgettable",2024-02-13 16:38:15
28,49,1,7,121,3,"The food was absolutely delicious, the service was top-notch, and the ambiance",2024-01-19 22:47:09
